school_id,name,country,base_url,careers_link,ats_platform,confidence,notes,scraper_status
145,Dominican University of California,US,https://www.dominican.edu/,https://www.paycomonline.net/v4/ats/web.php/portal/379D25BEB04D4E67539308A7BD902D82/career-page,own website,medium,OK-2hop:OK:4,generic scraper
146,University of California-Santa Barbara,US,https://www.ucsb.edu/,http://recruit.ap.ucsb.edu/apply,own website,medium,OK-2hop:OK:10,generic scraper
147,Westmont College,US,https://www.westmont.edu/,https://www.westmont.edu/office-provost/open-positions,own website,medium,OK-2hop:OK:4,generic scraper
148,Santa Clara University,US,https://www.scu.edu/,https://wd1.myworkdaysite.com/recruiting/scu/scu?jobFamilyGroup=e834aa15daf9010b7a0b3994871b132d,Workday,medium,OK-2hop:OK:5,adapter built
150,University of California-Santa Cruz,US,https://www.ucsc.edu/,https://recruit.ucsc.edu/apply,own website,medium,OK:7 [playwright],generic scraper
152,California State University-Monterey Bay,US,https://csumb.edu/,https://careers.csumb.edu/en-us/filter/?search-keyword=&job-mail-subscribe-privacy=agree,own website,medium,OK:7,generic scraper
153,Stanford University,US,https://www.stanford.edu/,https://facultypositions.stanford.edu/jobs/search?page=1&query=,own website,medium,OK-2hop:OK:11,generic scraper
154,Humphreys University-Stockton and Modesto Campuses,US,https://www.humphreys.edu/,https://www.humphreys.edu/career-opportunities/,own website,medium,OK-2hop:OK:3,generic scraper
155,University of the Pacific,US,https://www.pacific.edu/,https://pacific.peopleadmin.com/postings/search?utf8=✓&query=&query_v0_posted_at_date=&1195%5B%5D=any&query_position_type_id%5B%5D=6&commit=Search,PeopleAdmin,high,OK-2hop:OK:11,adapter built
156,California Lutheran University,US,https://www.callutheran.edu/,https://careers.callutheran.edu/postings/search?utf8=%E2%9C%93&query=&query_v0_posted_at_date=&435=&517=3&query_organizational_tier_3_id=any&225=&commit=Search,own website,medium,OK-2hop:OK:7,generic scraper
157,California State University-Stanislaus,US,https://www.csustan.edu/,https://careers.csustan.edu/st/en-us/filter/?job-mail-subscribe-privacy=agree&search-keyword=&work-type=instructional%20faculty%20-%20temporary%2flecturer&work-type=instructional%20faculty%20%E2%80%93%20tenured%2ftenure-track&work-type=non-instructional%20faculty%20(coach%2fcounselor%2flibrarian)&category=unit%203%20-%20cfa%20-%20california%20faculty%20association,own website,medium,OK-2hop:OK:6,generic scraper
158,California State University Maritime Academy,US,https://www.csum.edu/,https://jobs.csum.edu/en-us/filter/?job-mail-subscribe-privacy=agree&search-keyword=&location=maritime%20academy,own website,not_found,NO_MATCH [playwright],generic scraper
